Runtime of 2 function:
My function 	 Numpy
3.75300384 	 0.01514220
2.95824528 	 0.01642489
3.37098074 	 0.01788163
3.13115215 	 0.01797676
3.03508544 	 0.01414251
2.88434243 	 0.00965667
2.82862306 	 0.01413608
2.84576750 	 0.01094031
3.02624846 	 0.01253462
2.81011319 	 0.00983524
2.78042030 	 0.01558757
2.91508031 	 0.01087689
2.57889748 	 0.01092839
2.58614278 	 0.01242542
2.69968820 	 0.00993705
2.59815884 	 0.01068687
2.77317357 	 0.01576591
2.73520780 	 0.00657105
2.74758148 	 0.01222491
2.64384484 	 0.00653315
