MSV,classCode,subjectCode
12008182,['PHY2306'],['PHY2306']
14009946,['MAT3452 1'],['MAT3452']
15103708,['PHY1103 12'],['PHY1103']
16000260,"['EVS3242 1', 'CHE1080 4', 'MAT1090 1', 'PHY1103 4', 'MAT1101 4', 'EVS3455', 'EVS3287', 'MAT1092 3', 'CHE1057 1', 'HIS1056 7']","['HIS1056', 'MAT1101', 'MAT1092', 'EVS3455', 'EVS3287', 'MAT1090', 'CHE1080', 'EVS3242', 'PHY1103', 'CHE1057']"
16000386,['PHY1161 1CTĐB'],['PHY1161 CTĐB']
16000916,"['HIS1056 10', 'CHE3253']","['HIS1056', 'CHE3253']"
16001233,"['EVS3455', 'EVS3244 1', 'EVS3287']","['EVS3455', 'EVS3287', 'EVS3244']"
16001379,"['EVS3242 1', 'EVS3248', 'EVS2017', 'EVS3409', 'EVS3241', 'CHE1081 5', 'CHE1080 1']","['EVS3248', 'EVS2017', 'EVS3409', 'CHE1081', 'EVS3241', 'CHE1080', 'EVS3242']"
16002563,"['PHI1002 1', 'MAT1192 1', 'PHY1103 1']","['PHI1002', 'MAT1192', 'PHY1103']"
16002583,"['MAT3347 1', 'MAT2311 2TNT', 'MAT3318 2TNT', 'MAT3305']","['MAT3318 TNT', 'MAT2311 TNT', 'MAT3347', 'MAT3305']"
16003010,['MAT2311'],['MAT2311']
16003170,"['BIO3252E QTS', 'CHE1081 14QTS', 'PHY1103 2', 'BIO2202 6', 'MAT1101 12', 'BIO3400E 2QTS']","['BIO3252E QTS', 'MAT1101', 'CHE1081 QTS', 'BIO2202', 'BIO3400E QTS', 'PHY1103']"
16003408,"['MAT1092 5', 'HIS1056 6', 'PHY1103 14CLCMTKHTT', 'EVS2302 4', 'PHI1002 9', 'EVS2301 1']","['HIS1056', 'PHY1103 CLCMTKHTT', 'EVS2301', 'EVS2302', 'MAT1092', 'PHI1002']"
16003476,['BIO2202 4'],['BIO2202']
16003600,['BIO3302 4'],['BIO3302']
16003755,['MAT3300 3TNT'],['MAT3300 TNT']
16004481,"['MAT1091 7', 'MAT1192 8QTS', 'GLO2056']","['GLO2056', 'MAT1192 QTS', 'MAT1091']"
16004519,['MAT1091 4'],['MAT1091']
16004736,['BIO3302 1'],['BIO3302']
16004795,['BIO3405E QTS'],['BIO3405E QTS']
16005006,"['MAT1101 7', 'PHY2304 3', 'PHY1108 4']","['PHY1108', 'MAT1101', 'PHY2304']"
16005420,['CHE1084'],['CHE1084']
16005601,['EVS3241'],['EVS3241']
16005950,"['MAT2303 3', 'MAT2301 3', 'MAT3306', 'MAT3305']","['MAT2301', 'MAT3306', 'MAT2303', 'MAT3305']"
16006110,['PHY1100 14'],['PHY1100']
16006115,"['PHI1002 12', 'PHY1103 3', 'CHE1080 3', 'EVS3250 2', 'EVS3409', 'MAT1101 10', 'EVF2032', 'MAT1091 4', 'EVS3453']","['MAT1101', 'EVS3409', 'CHE1080', 'MAT1091', 'EVF2032', 'PHI1002', 'EVS3453', 'EVS3250', 'PHY1103']"
16006275,"['PHY3508 3', 'PHY2302 1']","['PHY3508', 'PHY2302']"
16006283,"['PHI1002 12', 'HMO3610', 'HIS1001 12', 'HMO3608', 'HMO3603']","['HMO3610', 'HMO3608', 'HMO3603', 'PHI1002', 'HIS1001']"
16006503,['EVS3241'],['EVS3241']
16006825,['PHY2304 5'],['PHY2304']
16007060,['CHE1081 10'],['CHE1081']
16007096,['MAT3300 2'],['MAT3300']
16007791,"['MAT2403 3', 'MAT1092 3']","['MAT2403', 'MAT1092']"
16008258,"['PHY1103 1', 'MAT1101 10']","['MAT1101', 'PHY1103']"
16008265,['CHE1081 14QTS'],['CHE1081 QTS']
16008485,"['MAT2403 3', 'MAT1092 3', 'POL1001 6', 'PHY1106 QTL']","['PHY1106 QTL', 'POL1001', 'MAT2403', 'MAT1092']"
