subjectCode1,subjectCode2,MSV,numberOfStudents
HMO3608,GLO2069 CLCĐC,[],0
HMO3608,HMO2106,[],0
HMO3608,PHY1161 CTĐB,[],0
HMO3608,PHY1020 CTĐB,[],0
HMO3608,BIO2044,[],0
HMO3608,CHE1091,[],0
HMO3608,GLO3196 CLCĐC,[],0
HMO3608,GEO3119,[],0
HMO3608,EVF2032,[],0
HMO3608,GEO2320,[],0
HMO3608,BIO3098,[],0
HMO3608,CHE2021,[],0
HMO3608,MAT3306,[],0
HMO3608,GEO3270,[],0
HMO3608,CHE2110E TTH,[],0
HMO3608,MAT1092 CLCCNH,[],0
HMO3608,BIO3182 CLCCNS,[],0
HMO3608,E476 TTKHMT,[],0
HMO3608,PHY1113 TNL,[],0
HMO3608,MAT2310,[],0
HMO3608,CHE1084,[],0
HMO3608,CHE1079 TNH,[],0
HMO3608,GLO2099,[],0
HMO3608,PHY3606,[],0
HMO3608,MAT2301,[],0
HMO3608,GEO3305,[],0
HMO3608,EVS3232,[],0
HMO3608,BIO2201,[],0
HMO3608,EVS3241 CLCKHMT,[],0
HMO3608,PHY3346 TNL,[],0
HMO3608,EVS3245,[],0
HMO3608,GLO2056,[],0
HMO3608,CHE1083,[],0
HMO3608,MAT2311,[],0
HMO3608,GEO3304,[],0
HMO3608,BIO3099,[],0
HMO3608,CHE1048,[],0
HMO3608,HMO3600,[],0
HMO3608,MAT2317 CLCMTKHTT,[],0
HMO3608,HMO3521,[],0
HMO3608,BIO2088,[],0
HMO3608,GEO3400,[],0
HMO3608,CHE1075,[],0
HMO3608,MAT1192 CLCCNS,[],0
HMO3608,EVS3287,[],0
HMO3608,CHE1067 CLCHD,[],0
HMO3608,GLO3197 CLCĐC,[],0
HMO3608,PHY2502,[],0
HMO3608,EVS2301 CLCKHMT,[],0
HMO3608,MAT3507,[],0
HMO3608,EVS2302 CTĐB,[],0
HMO3608,PHY2310,[],0
HMO3608,GEO3224,[],0
HMO3608,SMP2053,[],0
HMO3608,GEO3266,[],0
HMO3608,PHY2302E QTL,[],0
HMO3608,CHE3283 CLCHD,[],0
HMO3608,PHY2500,[],0
HMO3608,MAT1192,[],0
HMO3608,BIO3301 CLCCNS,[],0
HMO3608,MAT1192 QTS,[],0
HMO3608,CHE1129 CLCCNH,[],0
HMO3608,CHE1081 TNS,[],0
HMO3608,MAT3562E CLCMTKHTT,[],0
HMO3608,PHY1020,[],0
HMO3608,MAT3347,[],0
HMO3608,BIO2504 TNS,[],0
HMO3608,PHY1161 TTH,[],0
HMO3608,MAT2407 TNT,[],0
HMO3608,CHE1079E CLCCNH,[],0
HMO3608,CHE1052 CLCHD,[],0
HMO3608,EVS2302,[],0
HMO3608,PHI1002,[16006283],1
HMO3608,GEO3237,[],0
HMO3608,CHE2121 TNH,[],0
HMO3608,CHE1067,[],0
HMO3608,PHY3302,[],0
HMO3608,GLO2038,[],0
HMO3608,BIO2220,[],0
HMO3608,CHE3045,[],0
HMO3608,BIO3252E QTS,[],0
HMO3608,MAT3300 TNT,[],0
HMO3608,CHE1057,[],0
HMO3608,MAT3340 TNT,[],0
HMO3608,MAT3517E CLCMTKHTT,[],0
HMO3608,CHE1099E TNH,[],0
HMO3608,MAT3525,[],0
HMO3608,BIO2127 CLCCNS,[],0
HMO3608,CHE2018,[],0
HMO3608,BIO2043 CLCCNS,[],0
HMO3608,BIO3802E CLCCNS,[],0
HMO3608,SMP1055,[],0
HMO3608,BIO3304,[],0
HMO3608,PHY3301,[],0
HMO3608,BIO3302,[],0
HMO3608,MAT3373E CLCMTKHTT,[],0
HMO3608,HMO3611,"[19005484, 19005982]",2
HMO3608,PHY3606 TNL,[],0
HMO3608,EVS3244,[],0
HMO3608,GLO2093,[],0
HMO3608,BIO3401E QTS,[],0
HMO3608,HMO3602,[],0
HMO3608,PHY2304,[],0
HMO3608,EVS2109,[],0
HMO3608,MAT3533,[],0
HMO3608,HMO3178,[],0
HMO3608,CHE2128 TNH,[],0
HMO3608,EVS3241,[],0
HMO3608,PHY2004 QTL,[],0
HMO3608,PHY1100E CLCCNKTMT,[],0
HMO3608,MAT2403 CLCMTKHTT,[],0
HMO3608,K300 TTKHMT,[],0
HMO3608,GEO3403,[],0
HMO3608,CHE1048 CLCCNH,[],0
HMO3608,PHY2302,[],0
HMO3608,PHY1012 TNL,[],0
HMO3608,BIO3372E QTS,[],0
HMO3608,CHE1081 CLCCNS,[],0
HMO3608,MAT2502 CLCMTKHTT,[],0
HMO3608,HMO3610,"[16006283, 19005484, 19005982]",3
HMO3608,CHE2030E CLCHD,[],0
HMO3608,MAT3514,[],0
HMO3608,EVS4071,[],0
HMO3608,PHY1103,"[19005484, 19005982]",2
HMO3608,BIO2202,[],0
HMO3608,HIS1001,"[16006283, 19005484, 19005982]",3
HMO3608,BIO2089 TNS,[],0
HMO3608,PHY1103 CLCMTKHTT,[],0
HMO3608,PHY3608 TNL,[],0
HMO3608,MAT2407,[],0
HMO3608,HMO3204,[],0
HMO3608,PHY3167,[],0
HMO3608,MAT2311 TNT,[],0
HMO3608,CHE1077 TNH,[],0
HMO3608,BIO2215E CLCCNS,[],0
HMO3608,PHY3163,[],0
HMO3608,EVS4073 CLCCNKTMT,[],0
HMO3608,MAT2411E CLCMTKHTT,[],0
HMO3608,CHE2110 TNH,[],0
HMO3608,PHY1103 QTS,[],0
HMO3608,BIO3504 TNS,[],0
HMO3608,CHE1057 QTS,[],0
HMO3608,MAT3539,[],0
HMO3608,PHY1013 TNL,[],0
HMO3608,BIO3356 CLCCNS,[],0
HMO3608,MAT4073,[],0
HMO3608,BIO2405E QTS,[],0
HMO3608,GEO3402,[],0
HMO3608,MAT2034,[],0
HMO3608,GLO3198,[],0
HMO3608,CHE1099E TTH,[],0
HMO3608,PHY1106 QTL,[],0
HMO3608,CHE1052 CLCCNH,[],0
HMO3608,CHE2118E TTH,[],0
HMO3608,MAT3452,[],0
HMO3608,SMP1010,[],0
HMO3608,BIO2210,[],0
