MSV,Ma_Mon_Hoc_rieng,So_luong_mon_rieng,Ma_Mon_chung,So_luong_lop_trung
12008182,['PHY2306'],1,[],0
14009946,['MAT3452'],1,[],0
15103708,['PHY1103'],1,[],0
16000260,"['CHE1057', 'CHE1080', 'EVS3242', 'EVS3287', 'EVS3331', 'EVS3455', 'EVS3459 TTKHMT', 'EVS3460', 'EVS3464 CLCCNKTMT', 'HIS1056', 'MAT1090', 'MAT1092', 'MAT1101', 'PHY1103']",14,['EVS3331'],1
16000386,['PHY1161 CTĐB'],1,[],0
16000916,"['CHE3253', 'HIS1056']",2,[],0
16001233,"['EVS3244', 'EVS3287', 'EVS3331', 'EVS3455', 'EVS3459 TTKHMT', 'EVS3460', 'EVS3464 CLCCNKTMT']",7,['EVS3331'],1
16001379,"['CHE1080', 'CHE1081', 'EVS2017', 'EVS2051', 'EVS2051E CLCCNKTMT', 'EVS3241', 'EVS3242', 'EVS3248', 'EVS3409', 'EVS3410']",10,[],0
16002563,"['MAT1192', 'PHI1002', 'PHY1103']",3,[],0
16002583,"['MAT2311 TNT', 'MAT3305', 'MAT3318 TNT', 'MAT3347']",4,[],0
16003010,['MAT2311'],1,[],0
16003170,"['BIO2202', 'BIO3252E QTS', 'BIO3400E QTS', 'CHE1081 QTS', 'MAT1101', 'PHY1103']",6,[],0
16003408,"['EVS2301', 'EVS2302', 'HIS1056', 'MAT1092', 'PHI1002', 'PHI1006', 'PHY1103 CLCMTKHTT']",7,['PHI1006'],9
16003476,['BIO2202'],1,[],0
16003600,['BIO3302'],1,[],0
16003755,['MAT3300 TNT'],1,[],0
16004481,"['GLO2056', 'GLO2066', 'MAT1091', 'MAT1192 QTS']",4,[],0
16004519,['MAT1091'],1,[],0
16004736,['BIO3302'],1,[],0
16004795,"['BIO3405E QTS', 'BIO3411 CLCCNS']",2,[],0
16005006,"['MAT1101', 'PHY1108', 'PHY2304']",3,[],0
16005420,"['CHE1084', 'CHE1085']",2,['CHE1085'],2
16005601,['EVS3241'],1,[],0
16005950,"['MAT2301', 'MAT2303', 'MAT3305', 'MAT3306']",4,[],0
16006110,['PHY1100'],1,[],0
