MSV,Ma_Mon_Hoc_rieng,So_luong_mon_rieng,Ma_Mon_chung,So_luong_lop_trung
16000260,"['CHE1057', 'CHE1080', 'EVS3242', 'EVS3287', 'EVS3331', 'EVS3455', 'EVS3459 TTKHMT', 'EVS3460', 'EVS3464 CLCCNKTMT', 'HIS1056', 'MAT1090', 'MAT1092', 'MAT1101', 'PHY1103']",14,['EVS3331'],1
16001233,"['EVS3244', 'EVS3287', 'EVS3331', 'EVS3455', 'EVS3459 TTKHMT', 'EVS3460', 'EVS3464 CLCCNKTMT']",7,['EVS3331'],1
16003408,"['EVS2301', 'EVS2302', 'HIS1056', 'MAT1092', 'PHI1002', 'PHI1006', 'PHY1103 CLCMTKHTT']",7,['PHI1006'],9
16005420,"['CHE1084', 'CHE1085']",2,['CHE1085'],2
16008531,"['CHE1084', 'CHE1085', 'CHE2114', 'MAT1101']",4,['CHE1085'],2
17000127,"['MAT2308', 'MAT3452', 'MAT3525', 'MAT3532 CLCMTKHTT', 'MAT3539', 'MAT3544']",6,"['MAT3532 CLCMTKHTT', 'MAT3544']",4
17000196,"['CHE1067', 'CHE1069', 'CHE1083', 'CHE2114', 'MAT1101']",5,['CHE1069'],11
17000426,"['MAT2303', 'MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317', 'MAT3301']",6,['MAT2317'],1
17000757,"['PHY1103', 'PHY1104']",2,['PHY1104'],7
17000997,"['MAT3539', 'MAT3544']",2,['MAT3544'],1
17001108,"['CHE1084', 'CHE1085']",2,['CHE1085'],2
17001179,"['MAT3539', 'MAT3544']",2,['MAT3544'],1
17001243,"['EVS3232', 'EVS3240', 'MAT1090', 'MAT1091', 'MAT1192', 'PHY1100']",6,['EVS3240'],4
17001547,"['EVS3232', 'EVS3240', 'EVS3241', 'EVS3244', 'EVS3287', 'EVS3331', 'EVS4073']",7,"['EVS3240', 'EVS3331']",5
17001723,"['CHE1067', 'CHE1069', 'MAT1092']",3,['CHE1069'],11
17001902,"['CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD']",4,"['CHE2019', 'CHE2019 CLCCNH']",2
17002523,"['MAT2301', 'MAT2303', 'MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317']",6,['MAT2317'],1
17002746,"['MAT2403', 'MAT2406', 'MAT3525', 'MAT3532 CLCMTKHTT']",4,['MAT3532 CLCMTKHTT'],3
17003032,"['MAT2311', 'MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317', 'MAT3305', 'MAT3306', 'MAT3347']",8,['MAT2317'],1
17003974,"['PHY3163 QTL', 'PHY3508', 'PHY3609', 'PHY3610', 'PHY3610 TNL', 'PHY3610E QTL', 'PHY3623', 'POL1001']",8,"['PHY3610', 'PHY3623']",3
17004472,"['MAT3525', 'MAT3532 CLCMTKHTT']",2,['MAT3532 CLCMTKHTT'],3
17004650,"['MAT2034', 'MAT2308', 'MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317', 'MAT3507']",7,['MAT2317'],1
17004880,"['MAT3525', 'MAT3532 CLCMTKHTT']",2,['MAT3532 CLCMTKHTT'],3
17005014,"['CHE1057', 'EVS3158', 'EVS3159 CLCCNKTMT', 'EVS3287', 'EVS3331', 'EVS3455', 'EVS3459 TTKHMT', 'EVS3460', 'EVS3464 CLCCNKTMT', 'EVS4071', 'MAT1092']",11,['EVS3331'],1
17005436,"['MAT3525', 'MAT3532 CLCMTKHTT']",2,['MAT3532 CLCMTKHTT'],3
17005895,"['CHE1065', 'CHE1091', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE3045', 'CHE3253', 'CHE3254']",9,"['CHE2019', 'CHE2019 CLCCNH']",2
17006081,"['CHE1084', 'CHE1085']",2,['CHE1085'],2
17006389,"['MAT3452', 'MAT3525', 'MAT3532 CLCMTKHTT']",3,['MAT3532 CLCMTKHTT'],3
17006599,"['MAT3525', 'MAT3532 CLCMTKHTT', 'MAT3533', 'MAT3539', 'MAT3544']",5,"['MAT3532 CLCMTKHTT', 'MAT3544']",4
17006730,"['MAT1091', 'MAT1092', 'MAT3525', 'MAT3532 CLCMTKHTT']",4,['MAT3532 CLCMTKHTT'],3
17007399,"['MAT2403', 'MAT3525', 'MAT3532 CLCMTKHTT', 'MAT3539', 'MAT3544', 'PHI1002']",6,"['MAT3532 CLCMTKHTT', 'MAT3544']",4
17007595,"['CHE1048', 'CHE1067', 'CHE1069']",3,['CHE1069'],11
17008148,"['CHE1052', 'CHE1054', 'CHE1054 CLCHD', 'CHE1054 CLCCNKTHH']",4,"['CHE1054', 'CHE1054 CLCHD']",9
17008293,"['EVS3232', 'EVS3240', 'EVS4073']",3,['EVS3240'],4
17008511,"['MAT2403', 'MAT3525', 'MAT3532 CLCMTKHTT', 'MAT3539', 'PHY1103']",5,['MAT3532 CLCMTKHTT'],3
17008573,"['MAT2403', 'MAT2502', 'MAT3500', 'MAT3525', 'MAT3532 CLCMTKHTT', 'MAT3539']",6,['MAT3532 CLCMTKHTT'],3
17008686,"['MAT3525', 'MAT3532 CLCMTKHTT']",2,['MAT3532 CLCMTKHTT'],3
17008788,"['MAT3514', 'MAT3525', 'MAT3532 CLCMTKHTT']",3,['MAT3532 CLCMTKHTT'],3
17008800,"['BIO2089 TNS', 'BIO2504 TNS', 'BIO2514 CLCCNS', 'BIO3263 TNS', 'BIO3377 TNS']",5,['BIO2514 CLCCNS'],1
17009381,"['EVS3232', 'EVS3240']",2,['EVS3240'],4
17009845,"['MAT3525', 'MAT3532 CLCMTKHTT']",2,['MAT3532 CLCMTKHTT'],3
