MSV,Ma_Mon_Hoc_rieng,So_luong_mon_rieng,Ma_Mon_chung,So_luong_lop_trung
12008182,['PHY2306'],1,[],0
14009946,['MAT3452'],1,[],0
15103708,['PHY1103'],1,[],0
16000386,['PHY1161 CTĐB'],1,[],0
16003010,['MAT2311'],1,[],0
16003476,['BIO2202'],1,[],0
16003600,['BIO3302'],1,[],0
16003755,['MAT3300 TNT'],1,[],0
16004519,['MAT1091'],1,[],0
16004736,['BIO3302'],1,[],0
16005601,['EVS3241'],1,[],0
16006110,['PHY1100'],1,[],0
16006503,['EVS3241'],1,[],0
16006825,['PHY2304'],1,[],0
16007060,['CHE1081'],1,[],0
16007096,['MAT3300'],1,[],0
16008265,['CHE1081 QTS'],1,[],0
16008513,['MAT1101'],1,[],0
16009968,['PHY2004'],1,[],0
16016387,['MAT1091'],1,[],0
16105255,['MAT1091'],1,[],0
17000008,['CHE2021'],1,[],0
17000311,['MAT3514'],1,[],0
17000610,['POL1001'],1,[],0
17000751,['BIO3098'],1,[],0
17000829,['EVS3241'],1,[],0
17000957,['MAT2303'],1,[],0
17000962,['MAT2311'],1,[],0
17001015,['MAT2303'],1,[],0
17001025,['CHE1081'],1,[],0
17001084,['MAT3452'],1,[],0
17001097,['BIO3304'],1,[],0
17001710,['MAT2403'],1,[],0
17001803,['MAT1192'],1,[],0
17002250,['MAT1192'],1,[],0
17002505,['EVS3241'],1,[],0
17002810,['GEO2059'],1,[],0
17002876,['CHE1081'],1,[],0
17003103,['MAT2403'],1,[],0
17003220,['PHY2064 TNL'],1,[],0
17003445,['MAT2303'],1,[],0
17003756,['EVS4071'],1,[],0
17003780,['PHY2306'],1,[],0
17003909,['MAT2303'],1,[],0
17003989,['CHE3045'],1,[],0
17004087,['MAT2502'],1,[],0
17004128,['GEO3219'],1,[],0
17004137,['CHE3254'],1,[],0
17004264,['MAT2311'],1,[],0
17004828,['PHY1100'],1,[],0
17005008,['CHE1080'],1,[],0
17005443,['CHE1080'],1,[],0
17005898,['BIO3303'],1,[],0
17006074,['CHE1080'],1,[],0
17006089,['MAT1091'],1,[],0
17006166,['MAT1092'],1,[],0
17006180,['MAT2301'],1,[],0
17006362,['MAT1090'],1,[],0
17006556,['MAT2502'],1,[],0
