MSV,Class,Subject
12008182,['PHY2306'],['PHY2306']
14009946,['MAT3452 1'],['MAT3452']
15103708,['PHY1103 12'],['PHY1103']
16000260,"['CHE1057 1', 'CHE1080 4', 'EVS3242 1', 'EVS3287', 'EVS3331 1', 'EVS3331 2', 'EVS3455', 'EVS3459 TTKHMT', 'EVS3460', 'EVS3464 CLCCNKTMT', 'HIS1056 7', 'MAT1090 1', 'MAT1092 3', 'MAT1101 4', 'PHY1103 4']","['EVS3459', 'PHY1103', 'EVS3460', 'MAT1090', 'EVS3242', 'MAT1092', 'EVS3287', 'CHE1057', 'HIS1056', 'EVS3331', 'MAT1101', 'EVS3455', 'EVS3464', 'CHE1080']"
16000386,['PHY1161 1CTĐB'],['PHY1161']
16000916,"['CHE3253', 'HIS1056 10']","['HIS1056', 'CHE3253']"
16001233,"['EVS3244 1', 'EVS3287', 'EVS3331 1', 'EVS3331 2', 'EVS3455', 'EVS3459 TTKHMT', 'EVS3460', 'EVS3464 CLCCNKTMT']","['EVS3459', 'EVS3244', 'EVS3460', 'EVS3287', 'EVS3331', 'EVS3455', 'EVS3464']"
16001379,"['CHE1080 1', 'CHE1081 5', 'EVS2017', 'EVS2051', 'EVS2051E CLCCNKTMT', 'EVS3241', 'EVS3242 1', 'EVS3248', 'EVS3409', 'EVS3410']","['EVS2017', 'EVS2051', 'EVS3241', 'EVS3242', 'EVS3409', 'EVS3410', 'EVS3248', 'EVS2051E', 'CHE1081', 'CHE1080']"
16002563,"['MAT1192 1', 'PHI1002 1', 'PHY1103 1']","['MAT1192', 'PHY1103', 'PHI1002']"
16002583,"['MAT2311 2TNT', 'MAT3305', 'MAT3318 2TNT', 'MAT3347 1']","['MAT3305', 'MAT2311', 'MAT3318', 'MAT3347']"
16003010,['MAT2311'],['MAT2311']
16003170,"['BIO2202 6', 'BIO3252E QTS', 'BIO3400E 2QTS', 'CHE1081 14QTS', 'MAT1101 12', 'PHY1103 2']","['BIO3400E', 'BIO3252E', 'PHY1103', 'BIO2202', 'MAT1101', 'CHE1081']"
16003408,"['EVS2301 1', 'EVS2302 4', 'HIS1056 6', 'MAT1092 5', 'PHI1002 9', 'PHI1006 1', 'PHI1006 10', 'PHI1006 2', 'PHI1006 3', 'PHI1006 4', 'PHI1006 5', 'PHI1006 6', 'PHI1006 7', 'PHI1006 8', 'PHI1006 9', 'PHY1103 14CLCMTKHTT']","['PHI1006', 'EVS2302', 'MAT1092', 'EVS2301', 'PHY1103', 'PHI1002', 'HIS1056']"
16003476,['BIO2202 4'],['BIO2202']
16003600,['BIO3302 4'],['BIO3302']
16003755,['MAT3300 3TNT'],['MAT3300']
16004481,"['GLO2056', 'GLO2066', 'MAT1091 7', 'MAT1192 8QTS']","['MAT1192', 'GLO2066', 'MAT1091', 'GLO2056']"
16004519,['MAT1091 4'],['MAT1091']
16004736,['BIO3302 1'],['BIO3302']
16004795,"['BIO3405E QTS', 'BIO3411 CLCCNS']","['BIO3411', 'BIO3405E']"
16005006,"['MAT1101 7', 'PHY1108 4', 'PHY2304 3']","['PHY2304', 'PHY1108', 'MAT1101']"
16005420,"['CHE1084', 'CHE1085 1', 'CHE1085 2', 'CHE1085 3']","['CHE1084', 'CHE1085']"
16005601,['EVS3241'],['EVS3241']
16005950,"['MAT2301 3', 'MAT2303 3', 'MAT3305', 'MAT3306']","['MAT2301', 'MAT3305', 'MAT3306', 'MAT2303']"
16006110,['PHY1100 14'],['PHY1100']
16006115,"['CHE1080 3', 'EVF2032', 'EVS3250 2', 'EVS3409', 'EVS3410', 'EVS3453', 'MAT1091 4', 'MAT1101 10', 'PHI1002 12', 'PHY1103 3']","['EVF2032', 'EVS3453', 'MAT1091', 'EVS3250', 'MAT1101', 'EVS3410', 'EVS3409', 'PHY1103', 'PHI1002', 'CHE1080']"
